year,station,dvs,mdvr,cd,obj
2004,Cheonan,1900-04-16,1900-04-19,1900-04-25,
2005,Cheonan,1900-04-20,1900-04-26,1900-04-30,
2006,Cheonan,1900-04-25,1900-05-01,1900-05-05,
2007,Cheonan,1900-04-19,1900-04-26,1900-04-30,
2008,Cheonan,1900-04-17,1900-04-20,1900-04-25,
2009,Cheonan,1900-04-17,1900-04-22,1900-04-28,
2010,Cheonan,1900-04-20,1900-05-02,1900-05-05,
2011,Cheonan,1900-04-26,1900-05-02,1900-05-06,
2012,Cheonan,1900-04-23,1900-04-27,1900-05-01,
2013,Cheonan,1900-04-25,1900-05-02,1900-05-08,
2014,Cheonan,1900-04-13,1900-04-16,1900-04-21,
2015,Cheonan,1900-04-19,1900-04-24,1900-04-28,
2016,Cheonan,1900-04-11,1900-04-18,1900-04-24,
2017,Cheonan,1900-04-16,1900-04-23,1900-04-28,
2018,Cheonan,1900-04-13,1900-04-19,1900-04-24,
2019,Cheonan,1900-04-22,1900-04-26,1900-05-04,
2020,Cheonan,1900-04-12,1900-04-27,1900-05-01,
2021,Cheonan,1900-04-03,1900-04-18,1900-04-21,
2022,Cheonan,1900-04-15,1900-04-21,1900-04-24,
2023,Cheonan,1900-04-05,1900-04-14,1900-04-19,
2024,Cheonan,1900-04-09,1900-04-16,1900-04-20,
2024,cheonan,,,,1900-04-11
2023,cheonan,,,,1900-04-08
2022,cheonan,,,,1900-04-16
2021,cheonan,,,,1900-04-09
2020,cheonan,,,,1900-04-09
2019,cheonan,,,,1900-04-16
2017,cheonan,,,,1900-04-16
2016,cheonan,,,,1900-04-15
2014,cheonan,,,,1900-04-15
2013,cheonan,,,,1900-04-29
2012,cheonan,,,,1900-04-24
2011,cheonan,,,,1900-04-30
