year,station,dvs,mdvr,cd,obj
2004,Icheon,1900-04-16,1900-04-19,1900-04-23,
2005,Icheon,1900-04-22,1900-04-26,1900-04-29,
2006,Icheon,1900-04-21,1900-04-27,1900-05-02,
2007,Icheon,1900-04-21,1900-04-27,1900-05-02,
2008,Icheon,1900-04-18,1900-04-21,1900-04-28,
2009,Icheon,1900-04-19,1900-04-22,1900-04-29,
2010,Icheon,1900-04-27,1900-05-04,1900-05-08,
2011,Icheon,1900-04-30,1900-05-02,1900-05-08,1900-05-03
2012,Icheon,1900-04-25,1900-04-28,1900-05-02,1900-04-27
2013,Icheon,1900-04-28,1900-05-04,1900-05-09,1900-04-29
2014,Icheon,1900-04-14,1900-04-17,1900-04-22,1900-04-16
2015,Icheon,1900-04-22,1900-04-24,1900-04-28,
2016,Icheon,1900-04-13,1900-04-18,1900-04-24,1900-04-16
2017,Icheon,1900-04-17,1900-04-22,1900-04-27,1900-04-17
2018,Icheon,1900-04-16,1900-04-20,1900-04-26,
2019,Icheon,1900-04-21,1900-04-24,1900-04-30,1900-04-20
2020,Icheon,1900-04-10,1900-04-22,1900-04-29,1900-04-09
2021,Icheon,1900-04-03,1900-04-15,1900-04-20,1900-04-11
2022,Icheon,1900-04-12,1900-04-19,1900-04-23,1900-04-17
2023,Icheon,1900-04-04,1900-04-13,1900-04-18,1900-04-10
2024,Icheon,1900-04-11,1900-04-15,1900-04-18,1900-04-12
